,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,ContinentName,cluster_final
0,M,M,90000.0,2.0,0.0,Bachelors,Professional,Asia,0.0
1,S,M,60000.0,3.0,3.0,Bachelors,Professional,Asia,0.0
2,M,M,60000.0,3.0,3.0,Bachelors,Professional,Asia,0.0
3,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
4,S,F,80000.0,5.0,5.0,Bachelors,Professional,Asia,4.0
5,S,M,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
6,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
7,M,M,60000.0,3.0,3.0,Bachelors,Professional,Asia,0.0
8,S,F,60000.0,4.0,4.0,Bachelors,Professional,Asia,0.0
9,S,M,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
10,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
11,M,M,60000.0,4.0,4.0,Bachelors,Professional,Asia,0.0
12,M,F,100000.0,2.0,0.0,Bachelors,Management,North America,0.0
13,M,M,100000.0,2.0,0.0,Bachelors,Management,North America,0.0
14,S,F,100000.0,3.0,0.0,Bachelors,Management,North America,2.0
15,S,F,30000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
16,M,M,30000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
17,S,F,20000.0,4.0,0.0,High School,Skilled Manual,Asia,0.0
18,S,M,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
19,S,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
20,S,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
21,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
22,M,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
23,M,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
24,M,M,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
25,M,M,10000.0,2.0,1.0,Partial High School,Clerical,Asia,0.0
26,S,M,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
27,M,M,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
28,M,F,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
29,M,M,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
30,M,F,10000.0,2.0,1.0,Partial High School,Clerical,Asia,0.0
31,M,F,20000.0,4.0,0.0,High School,Skilled Manual,Asia,0.0
32,M,F,20000.0,4.0,0.0,High School,Skilled Manual,Asia,0.0
33,M,M,20000.0,4.0,0.0,High School,Skilled Manual,Asia,0.0
34,M,F,20000.0,4.0,0.0,High School,Skilled Manual,Asia,0.0
35,M,F,10000.0,2.0,1.0,Partial High School,Clerical,Asia,0.0
36,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
37,S,F,40000.0,0.0,0.0,Partial High School,Clerical,North America,1.0
38,M,F,10000.0,2.0,1.0,Partial High School,Clerical,Asia,0.0
39,M,M,30000.0,3.0,0.0,Partial College,Clerical,Asia,0.0
40,M,M,30000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
41,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
42,M,F,70000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
43,M,M,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
44,M,M,20000.0,2.0,1.0,Partial High School,Clerical,Asia,0.0
45,S,M,30000.0,3.0,0.0,High School,Skilled Manual,Asia,0.0
46,M,F,30000.0,3.0,0.0,High School,Skilled Manual,Asia,0.0
47,M,F,30000.0,3.0,0.0,High School,Skilled Manual,Asia,0.0
48,M,M,30000.0,3.0,0.0,High School,Skilled Manual,Asia,0.0
49,S,F,40000.0,0.0,0.0,Partial High School,Clerical,North America,1.0
50,M,M,30000.0,3.0,0.0,High School,Skilled Manual,Asia,0.0
51,S,M,30000.0,3.0,0.0,High School,Skilled Manual,Asia,0.0
52,S,F,40000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
53,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
54,M,F,40000.0,2.0,0.0,Partial College,Skilled Manual,Asia,0.0
55,M,M,40000.0,2.0,0.0,Partial College,Skilled Manual,Asia,0.0
56,M,F,40000.0,3.0,0.0,Partial College,Skilled Manual,Asia,0.0
57,M,M,70000.0,2.0,0.0,Graduate Degree,Management,Asia,2.0
58,M,M,80000.0,2.0,0.0,Partial College,Skilled Manual,Asia,0.0
59,S,F,80000.0,2.0,0.0,Partial College,Skilled Manual,Asia,0.0
60,M,M,80000.0,2.0,0.0,Partial College,Skilled Manual,Asia,0.0
61,M,M,80000.0,2.0,0.0,Partial College,Skilled Manual,Asia,0.0
62,M,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
63,S,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
64,M,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
65,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
66,M,F,70000.0,0.0,0.0,Partial College,Professional,North America,0.0
67,S,M,60000.0,0.0,0.0,Partial College,Professional,North America,0.0
68,S,F,80000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
69,S,F,80000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
70,M,M,80000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
71,S,F,80000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
72,S,F,80000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
73,S,F,70000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
74,S,M,70000.0,2.0,0.0,High School,Skilled Manual,Asia,0.0
75,S,F,80000.0,2.0,0.0,High School,Professional,Asia,0.0
76,S,M,80000.0,2.0,0.0,High School,Professional,Asia,0.0
77,S,F,80000.0,2.0,0.0,High School,Professional,Asia,0.0
78,S,F,40000.0,0.0,0.0,High School,Professional,North America,0.0
79,S,M,160000.0,0.0,0.0,Graduate Degree,Management,Asia,0.0
80,M,M,170000.0,0.0,0.0,Graduate Degree,Management,Asia,0.0
81,M,F,120000.0,2.0,2.0,Bachelors,Management,North America,0.0
82,S,F,130000.0,0.0,1.0,Graduate Degree,Management,North America,0.0
83,M,F,130000.0,0.0,1.0,Graduate Degree,Management,North America,0.0
84,S,M,80000.0,2.0,0.0,Partial High School,Skilled Manual,North America,0.0
85,S,F,60000.0,2.0,0.0,High School,Professional,North America,0.0
86,M,M,70000.0,2.0,1.0,Partial College,Professional,North America,0.0
87,M,F,70000.0,3.0,2.0,Partial College,Professional,North America,0.0
88,M,M,80000.0,2.0,1.0,Bachelors,Management,North America,0.0
89,S,F,80000.0,2.0,1.0,Bachelors,Management,North America,0.0
90,S,M,90000.0,2.0,0.0,Partial College,Professional,North America,0.0
91,M,M,90000.0,2.0,0.0,Partial College,Professional,North America,0.0
92,M,F,90000.0,2.0,2.0,Bachelors,Professional,Asia,0.0
93,M,F,100000.0,0.0,0.0,Graduate Degree,Management,Asia,0.0
94,S,M,70000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
95,S,M,70000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
96,M,M,60000.0,1.0,0.0,Bachelors,Professional,Asia,0.0
97,M,M,60000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
98,S,F,60000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
99,M,M,60000.0,1.0,0.0,Bachelors,Professional,Asia,0.0
100,S,F,60000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
101,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
102,S,F,80000.0,5.0,5.0,Bachelors,Professional,Asia,4.0
103,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
104,M,M,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
105,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
106,S,M,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
107,M,F,90000.0,1.0,0.0,Bachelors,Professional,Asia,0.0
108,S,F,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
109,S,M,70000.0,0.0,0.0,Bachelors,Professional,Asia,0.0
110,M,M,60000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
111,M,F,60000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
112,M,F,60000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
113,M,M,70000.0,5.0,4.0,Bachelors,Professional,Asia,4.0
114,S,F,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
115,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
116,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
117,M,F,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
118,S,M,80000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
119,S,M,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
120,S,F,40000.0,2.0,0.0,Bachelors,Management,Asia,0.0
121,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
122,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
123,M,M,70000.0,5.0,4.0,Partial College,Skilled Manual,Asia,4.0
124,S,M,80000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
125,S,F,70000.0,1.0,0.0,Partial College,Skilled Manual,Asia,0.0
126,M,M,10000.0,2.0,1.0,High School,Skilled Manual,Asia,0.0
127,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
128,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
129,S,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
130,M,F,30000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
131,M,F,30000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
132,S,F,30000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
133,S,F,30000.0,0.0,0.0,Partial High School,Clerical,North America,1.0
134,S,M,10000.0,5.0,0.0,High School,Skilled Manual,Asia,0.0
135,S,M,30000.0,0.0,0.0,Partial High School,Clerical,North America,1.0
136,S,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
137,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
138,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
139,S,F,30000.0,2.0,0.0,Partial College,Clerical,Asia,0.0
140,S,M,30000.0,0.0,0.0,Partial High School,Clerical,North America,1.0
141,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
142,S,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
143,M,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
144,S,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
145,S,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
146,S,F,40000.0,2.0,0.0,Bachelors,Management,Asia,0.0
147,M,M,60000.0,2.0,0.0,Graduate Degree,Management,Asia,2.0
148,M,M,40000.0,2.0,0.0,Bachelors,Management,Asia,0.0
149,M,M,40000.0,2.0,0.0,Bachelors,Management,Asia,0.0
150,S,M,40000.0,2.0,0.0,Bachelors,Management,Asia,0.0
151,S,F,60000.0,2.0,0.0,Graduate Degree,Management,Asia,2.0
152,S,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
153,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
154,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
155,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
156,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
157,M,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
158,S,M,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
159,S,F,40000.0,0.0,0.0,High School,Skilled Manual,North America,0.0
160,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
161,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
162,S,M,40000.0,0.0,0.0,Partial College,Skilled Manual,North America,0.0
